id,Listening_Time_minutes
750000,54.860043
750001,17.377262
750002,46.200153
750003,79.37045
750004,49.049683
750005,22.646755
750006,85.31706
750007,40.850555
750008,67.29504
750009,75.678474
750010,15.0319
750011,23.223328
750012,33.58934
750013,45.718483
750014,48.29205
750015,60.31476
750016,46.37581
750017,33.52102
750018,60.847733
750019,43.008396
750020,36.587852
750021,58.563683
750022,77.96225
750023,31.053928
750024,52.56458
750025,43.046837
750026,12.21727
750027,25.409678
750028,36.675446
750029,40.17772
750030,37.46101
750031,35.227375
750032,12.449237
750033,60.604866
750034,22.892124
750035,21.247236
750036,14.798396
750037,36.558033
750038,25.37314
750039,24.048155
750040,14.91434
750041,82.57538
750042,73.31584
750043,71.21121
750044,51.806812
750045,21.611483
750046,15.207985
750047,48.556316
750048,15.485813
750049,7.81931
750050,85.93212
750051,24.20647
750052,45.023766
750053,78.63281
750054,15.941616
750055,16.440062
750056,74.226715
750057,57.820446
750058,20.37625
750059,37.126312
750060,47.793243
750061,34.19996
750062,68.55974
750063,73.20569
750064,48.513725
750065,16.370586
750066,66.18548
750067,43.31582
750068,56.461063
750069,45.52612
750070,35.592155
750071,42.98304
750072,45.516453
750073,26.839252
750074,40.742195
750075,90.531334
750076,15.611671
750077,11.284777
750078,78.467155
750079,84.24072
750080,41.89457
750081,89.72208
750082,16.594376
750083,75.58426
750084,72.974815
750085,65.18436
750086,54.1997
750087,99.84002
750088,12.312095
750089,47.74286
750090,63.014175
750091,76.98056
750092,35.611725
750093,33.62413
750094,51.97698
750095,31.909534
750096,5.0073605
750097,28.799099
750098,35.04327
750099,14.668046
750100,46.30304
750101,47.630142
750102,48.979214
750103,44.137966
750104,33.09893
750105,33.029705
750106,31.57455
750107,85.470276
750108,60.572735
750109,38.000107
750110,53.157116
750111,21.814524
750112,6.48755
750113,76.09924
750114,58.47942
750115,72.17213
750116,82.41558
750117,68.2472
750118,47.179108
750119,24.12798
750120,2.238107
750121,57.11016
750122,76.840416
750123,60.240776
750124,35.856358
750125,21.950474
750126,62.020027
750127,2.4906402
750128,5.903685
750129,17.535881
750130,44.517963
750131,30.269236
750132,4.7882204
750133,48.336903
750134,76.75639
750135,32.48887
750136,39.598106
750137,12.563317
750138,93.001724
750139,60.336304
750140,51.110794
750141,52.893745
750142,52.23928
750143,30.780863
750144,61.628963
750145,55.24236
750146,74.08789
750147,67.22687
750148,47.127796
750149,7.2590585
750150,25.6036
750151,48.33069
750152,53.286728
750153,48.879974
750154,59.085827
750155,15.55242
750156,4.356027
750157,67.82416
750158,20.376925
750159,34.93953
750160,55.117443
750161,51.746773
750162,60.323864
750163,18.826603
750164,81.18513
750165,86.71574
750166,74.73047
750167,83.73976
750168,53.58456
750169,46.22472
750170,52.573074
750171,40.295216
750172,2.2267036
750173,38.307907
750174,37.605793
750175,58.849194
750176,112.68232
750177,85.08396
750178,46.29605
750179,5.3397956
750180,87.74627
750181,39.76337
750182,100.44068
750183,36.515186
750184,83.3648
750185,31.45197
750186,85.36813
750187,46.365032
750188,11.738025
750189,21.946405
750190,52.524467
750191,28.635693
750192,33.398476
750193,29.309692
750194,41.12693
750195,48.385464
750196,27.92793
750197,9.84751
750198,20.125456
750199,38.09385
750200,41.924847
750201,68.880104
750202,38.178818
750203,53.832233
750204,64.21939
750205,31.807732
750206,19.891878
750207,52.391727
750208,34.96525
750209,47.118153
750210,52.906757
750211,54.524693
750212,60.612137
750213,63.585693
750214,32.845303
750215,66.722305
750216,72.68927
750217,57.237724
750218,8.614579
750219,34.71819
750220,35.68158
750221,30.882778
750222,38.787315
750223,33.83982
750224,70.06235
750225,3.2192664
750226,79.99213
750227,67.6489
750228,37.722527
750229,29.230955
750230,43.042564
750231,28.207579
750232,53.559605
750233,70.3533
750234,25.882359
750235,20.659561
750236,46.764603
750237,33.83258
750238,25.516434
750239,21.187366
750240,80.62034
750241,77.14844
750242,18.016777
750243,43.159546
750244,18.83678
750245,48.60535
750246,43.844807
750247,99.01277
750248,15.959473
750249,86.97578
750250,53.946075
750251,32.524467
750252,43.632397
750253,77.82786
750254,47.518593
750255,27.173609
750256,49.783955
750257,32.069057
750258,9.3051605
750259,23.764414
750260,37.250713
750261,49.33274
750262,57.52665
750263,58.929512
750264,29.57253
750265,75.818375
750266,13.483043
750267,19.427032
750268,5.775518
750269,5.256977
750270,44.599426
750271,59.209538
750272,2.3817801
750273,31.994947
750274,50.11488
750275,61.194275
750276,55.709064
750277,9.574713
750278,43.288124
750279,20.120316
750280,45.839573
750281,47.051228
750282,57.556034
750283,70.143906
750284,47.69211
750285,33.70012
750286,5.5304856
750287,75.32357
750288,32.83592
750289,6.9455853
750290,60.06387
